Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611,Moderate
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,Moderate
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,Good
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303,Good
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,Hazardous
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor
31,59.6,5,16.8,24.2,13.6,1.38,6.3,443,Moderate
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,Poor
33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,535,Poor
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,529,Good
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,Moderate
20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,Good
28.6,53.7,28.9,34,23.2,4.5,1.02,11,508,Good
22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,232,Good
32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,Good
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,Poor
34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,437,Moderate
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,Poor
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,338,Moderate
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,Good
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,536,Good
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,Good
26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581,Good
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,Good
30,69.2,2,3.9,15.3,5.2,1.09,10.1,297,Good
